stage	variant	run_id	topics	wins	splits	losses	win_rate	ci_lo	ci_hi	order_consistency	wr_first	wr_base	wr_delta	wr_lo	wr_hi	support_verdict	words_ours	words_base	word_ratio	uncited_rate	cites_per_object	digits_per_1k	refs	judge	verdict	notes
dev20	ours-keyword	test-keyword-119	20	7	4	9	0.45	0.25	0.65	0.8	0.5546	0.6275	-0.073	-0.1337	-0.0201	KILL	717.6	617.6	1.162	0.1867	1.33	6.4	12.9	gpt-5.6-luna	INCONCLUSIVE	published test119 run, judgments adopted
dev20	ours-semantic	test-semantic-119	20	6	5	9	0.425	0.25	0.6	0.75	0.5448	0.6275	-0.0828	-0.134	-0.0363	KILL	726.5	617.6	1.176	0.1384	1.46	5.8	14.8	gpt-5.6-luna	INCONCLUSIVE	published test119 run, judgments adopted
dev20	ours-keyword	test-keyword-119	20	2	6	12	0.25	0.125	0.4	0.7							717.6	617.6	1.162	0.1867	1.33	6.4	12.9	gpt-5.6-terra	KILL	neutral judge: generated neither side
dev20	ours-semantic	test-semantic-119	20	2	8	10	0.3	0.15	0.45	0.6							726.5	617.6	1.176	0.1384	1.46	5.8	14.8	gpt-5.6-terra	KILL	neutral judge: generated neither side
dev20	ours-keyword	test-keyword-119	20	3	1	16	0.175	0.025	0.35	0.95							717.6	617.6	1.162	0.1867	1.33	6.4	12.9	gpt-5.6-sol	KILL	sol: generated both organizer baselines
dev20	ours-semantic	test-semantic-119	20	3	4	13	0.25	0.1	0.425	0.8							726.5	617.6	1.176	0.1384	1.46	5.8	14.8	gpt-5.6-sol	KILL	sol: generated both organizer baselines
